case_name,route_type,base_cycle,requested_target_cycle,jump_target_cycle,deltaN_requested,deltaN_used,derivative_method,limiting_variable,comparison_cycle,reference_cycle,reference_exact,continuation_cycles,strain_mean,reference_strain_mean,mean_strain_norm_error,ratcheting_strain,reference_ratcheting_strain,ratcheting_norm_error,accumulated_inelastic_strain,reference_accumulated_inelastic_strain,accumulated_inelastic_norm_error,backstress_norm,reference_backstress_norm,backstress_norm_error,drift_direction_correct,strict_accepted,relaxed_2pct_accepted,relaxed_5pct_accepted,real_neml_backend,full_state_reinjected,nan_or_inf,status
B1_stress_m150_to_250,fixed,500,1000,1000,500,500,least_squares_last_20,,1000,1000,true,0,0.054886793544131174,0.05487184572868012,0.00027241320667371546,0.04091683513391677,0.040901887318465696,0.0003654553965857609,2.7251448552215405,2.72411577202767,0.0003777677896209299,54.47722036428971,54.579621445901154,0.0018761779378214626,true,true,true,true,true,true,false,ok
B1_stress_m150_to_250,fixed,500,1000,1000,500,500,least_squares_last_20,,1050,1050,true,50,0.056749631619308516,0.05673400436099646,0.00027544782865353165,0.04277967320909409,0.04276404595078204,0.0003654298363172227,2.8519187395733403,2.8508913702414795,0.0003603677581632091,54.57989508522825,54.57956566383511,6.0356177102746135e-06,true,true,true,true,true,true,false,ok
B1_stress_m150_to_250,fixed,500,1000,1000,500,500,least_squares_last_20,,1100,1100,true,100,0.05861182823117965,0.05859612661562771,0.0002679633699159051,0.04464186982096523,0.04462616820541329,0.0003518477203702886,2.978694261360836,2.9776668895863194,0.00034502575761902876,54.57986469394204,54.57947935861201,7.0600770575002565e-06,true,true,true,true,true,true,false,ok
