case_name,base_cycle,target_cycle,method,mean_normalized_error_percent,ratcheting_normalized_error_percent,peak_normalized_error_percent,strict_1pct_accept,relaxed_2pct_accept,relaxed_5pct_accept,drift_direction_ok,finite
B1_stress_m150_to_250,10,100,least_squares_last_100,374.22659856954914,374.2265985695474,602.0065827307599,False,False,False,True,True
B1_stress_m150_to_250,10,100,least_squares_last_20,374.22659856954914,374.2265985695474,602.0065827307599,False,False,False,True,True
B1_stress_m150_to_250,10,100,least_squares_last_50,374.22659856954914,374.2265985695474,602.0065827307599,False,False,False,True,True
B1_stress_m150_to_250,10,100,linear_last_10,493.0858162911903,493.0858162911903,766.685410446105,False,False,False,True,True
B1_stress_m150_to_250,10,100,linear_last_2,78.16383524808158,78.16383524807823,159.39070837534095,False,False,False,True,True
B1_stress_m150_to_250,10,100,linear_last_20,493.0858162911903,493.0858162911903,766.685410446105,False,False,False,True,True
B1_stress_m150_to_250,10,100,linear_last_5,99.74759199847864,99.74759199847796,202.04638186883295,False,False,False,True,True
B1_stress_m150_to_250,10,500,least_squares_last_100,2347.315505137577,2347.3155051375666,3757.570421257675,False,False,False,True,True
B1_stress_m150_to_250,10,500,least_squares_last_20,2347.315505137577,2347.3155051375666,3757.570421257675,False,False,False,True,True
B1_stress_m150_to_250,10,500,least_squares_last_50,2347.315505137577,2347.3155051375666,3757.570421257675,False,False,False,True,True
B1_stress_m150_to_250,10,500,linear_last_10,3036.19179267022,3036.1917926702204,4712.00493333271,False,False,False,True,True
B1_stress_m150_to_250,10,500,linear_last_2,631.4147850841731,631.4147850841534,1192.2870029951932,False,False,False,True,True
B1_stress_m150_to_250,10,500,linear_last_20,3036.19179267022,3036.1917926702204,4712.00493333271,False,False,False,True,True
B1_stress_m150_to_250,10,500,linear_last_5,756.5084758069415,756.5084758069373,1439.5078964324832,False,False,False,True,True
B1_stress_m150_to_250,10,1000,least_squares_last_100,4800.740270002938,4800.740270002919,7675.674506832304,False,False,False,True,True
B1_stress_m150_to_250,10,1000,least_squares_last_20,4800.740270002938,4800.740270002919,7675.674506832304,False,False,False,True,True
B1_stress_m150_to_250,10,1000,least_squares_last_50,4800.740270002938,4800.740270002919,7675.674506832304,False,False,False,True,True
B1_stress_m150_to_250,10,1000,linear_last_10,6193.007007058493,6193.007007058499,9604.652826901063,False,False,False,True,True
B1_stress_m150_to_250,10,1000,linear_last_2,1332.7859509818618,1332.785950981826,2491.0588668320847,False,False,False,True,True
B1_stress_m150_to_250,10,1000,linear_last_20,6193.007007058493,6193.007007058499,9604.652826901063,False,False,False,True,True
B1_stress_m150_to_250,10,1000,linear_last_5,1585.6089727070412,1585.6089727070355,2990.709432350476,False,False,False,True,True
B1_stress_m150_to_250,10,5000,least_squares_last_100,24423.12344426175,24423.12344426164,39011.95698649242,False,False,False,True,True
B1_stress_m150_to_250,10,5000,least_squares_last_20,24423.12344426175,24423.12344426164,39011.95698649242,False,False,False,True,True
B1_stress_m150_to_250,10,5000,least_squares_last_50,24423.12344426175,24423.12344426164,39011.95698649242,False,False,False,True,True
B1_stress_m150_to_250,10,5000,linear_last_10,31440.72279604025,31440.72279604026,48734.80437501631,False,False,False,True,True
B1_stress_m150_to_250,10,5000,linear_last_2,6943.201434038046,6943.201434037846,12879.35294868267,False,False,False,True,True
B1_stress_m150_to_250,10,5000,linear_last_20,31440.72279604025,31440.72279604026,48734.80437501631,False,False,False,True,True
B1_stress_m150_to_250,10,5000,linear_last_5,8217.53387778047,8217.533877780426,15397.798151297397,False,False,False,True,True
B1_stress_m150_to_250,10,10000,least_squares_last_100,48952.69217866856,48952.692178668345,78183.94824782058,False,False,False,True,True
B1_stress_m150_to_250,10,10000,least_squares_last_20,48952.69217866856,48952.692178668345,78183.94824782058,False,False,False,True,True
B1_stress_m150_to_250,10,10000,least_squares_last_50,48952.69217866856,48952.692178668345,78183.94824782058,False,False,False,True,True
B1_stress_m150_to_250,10,10000,linear_last_10,63001.98052715497,63001.980527155,97649.16415460808,False,False,False,True,True
B1_stress_m150_to_250,10,10000,linear_last_2,13957.752695774228,13957.752695773834,25866.27221364194,False,False,False,True,True
B1_stress_m150_to_250,10,10000,linear_last_20,63001.98052715497,63001.980527155,97649.16415460808,False,False,False,True,True
B1_stress_m150_to_250,10,10000,linear_last_5,16508.97613508774,16508.976135087665,30908.219048698786,False,False,False,True,True
B1_stress_m150_to_250,10,50000,least_squares_last_100,245214.125442576,245214.12544257488,391584.94967570936,False,False,False,True,True
B1_stress_m150_to_250,10,50000,least_squares_last_20,245214.125442576,245214.12544257488,391584.94967570936,False,False,False,True,True
B1_stress_m150_to_250,10,50000,least_squares_last_50,245214.125442576,245214.12544257488,391584.94967570936,False,False,False,True,True
B1_stress_m150_to_250,10,50000,linear_last_10,315517.0155872648,315517.01558726485,488989.23817726615,False,False,False,True,True
B1_stress_m150_to_250,10,50000,linear_last_2,70098.82244212154,70098.82244211958,129786.363183424,False,False,False,True,True
B1_stress_m150_to_250,10,50000,linear_last_20,315517.0155872648,315517.01558726485,488989.23817726615,False,False,False,True,True
B1_stress_m150_to_250,10,50000,linear_last_5,82865.19015696287,82865.19015696248,155016.35531313572,False,False,False,True,True
B1_stress_m150_to_250,10,100000,least_squares_last_100,490570.1096494997,490570.10964949726,783366.0705162111,False,False,False,True,True
B1_stress_m150_to_250,10,100000,least_squares_last_20,490570.1096494997,490570.10964949726,783366.0705162111,False,False,False,True,True
B1_stress_m150_to_250,10,100000,least_squares_last_50,490570.1096494997,490570.10964949726,783366.0705162111,False,False,False,True,True
B1_stress_m150_to_250,10,100000,linear_last_10,631190.3268499138,631190.3268499139,978194.6497844486,False,False,False,True,True
B1_stress_m150_to_250,10,100000,linear_last_2,140303.54319169687,140303.5431916929,259715.1364004135,False,False,False,True,True
B1_stress_m150_to_250,10,100000,linear_last_20,631190.3268499138,631190.3268499139,978194.6497844486,False,False,False,True,True
B1_stress_m150_to_250,10,100000,linear_last_5,165838.90023358612,165838.9002335852,310180.30171499803,False,False,False,True,True
B1_stress_m150_to_250,10,200000,least_squares_last_100,981405.357687206,981405.3576872016,1567054.8662592743,False,False,False,True,True
B1_stress_m150_to_250,10,200000,least_squares_last_20,981405.357687206,981405.3576872016,1567054.8662592743,False,False,False,True,True
B1_stress_m150_to_250,10,200000,least_squares_last_50,981405.357687206,981405.3576872016,1567054.8662592743,False,False,False,True,True
B1_stress_m150_to_250,10,200000,linear_last_10,1262661.8015305025,1262661.8015305025,1956734.2057949903,False,False,False,True,True
B1_stress_m150_to_250,10,200000,linear_last_2,280832.3473446146,280832.34734460665,519693.3809991336,False,False,False,True,True
B1_stress_m150_to_250,10,200000,linear_last_20,1262661.8015305025,1262661.8015305025,1956734.2057949903,False,False,False,True,True
B1_stress_m150_to_250,10,200000,linear_last_5,331905.9685980561,331905.96859805443,620629.4570266304,False,False,False,True,True
B1_stress_m150_to_250,10,250000,least_squares_last_100,1226807.7358778715,1226807.7358778662,1958880.562748466,False,False,False,True,True
B1_stress_m150_to_250,10,250000,least_squares_last_20,1226807.7358778715,1226807.7358778662,1958880.562748466,False,False,False,True,True
B1_stress_m150_to_250,10,250000,least_squares_last_50,1226807.7358778715,1226807.7358778662,1958880.562748466,False,False,False,True,True
B1_stress_m150_to_250,10,250000,linear_last_10,1578380.6333493197,1578380.6333493202,2445982.982921504,False,False,False,True,True
B1_stress_m150_to_250,10,250000,linear_last_2,351085.6376717648,351085.63767175487,649669.9823926067,False,False,False,True,True
B1_stress_m150_to_250,10,250000,linear_last_20,1578380.6333493197,1578380.6333493202,2445982.982921504,False,False,False,True,True
B1_stress_m150_to_250,10,250000,linear_last_5,414928.0896457225,414928.0896457203,775840.9181531285,False,False,False,True,True
B1_stress_m150_to_250,20,100,least_squares_last_100,140.56110219755803,140.56110219756056,242.930276696487,False,False,False,True,True
B1_stress_m150_to_250,20,100,least_squares_last_20,140.56110219755803,140.56110219756056,242.930276696487,False,False,False,True,True
B1_stress_m150_to_250,20,100,least_squares_last_50,140.56110219755803,140.56110219756056,242.930276696487,False,False,False,True,True
B1_stress_m150_to_250,20,100,linear_last_10,48.30522234225476,48.30522234225469,91.30408678855984,False,False,False,True,True
B1_stress_m150_to_250,20,100,linear_last_2,37.07632528353624,37.07632528353616,66.12232706669174,False,False,False,True,True
