case_name,target_cycle,base_cycle,method,mean_normalized_error_percent,ratcheting_normalized_error_percent,peak_normalized_error_percent,strict_1pct_accept,relaxed_2pct_accept,relaxed_5pct_accept,drift_direction_ok,finite,primary_error_score
B1_stress_m150_to_250,100,50,linear_last_2,7.0051252905711205,7.005125290429476,10.317200788234356,False,False,False,True,True,24.32745136923495
B1_stress_m150_to_250,500,100,linear_last_2,59.426826477429856,59.426826477429856,76.97994431501255,False,False,False,True,True,195.83359726987226
B1_stress_m150_to_250,1000,500,linear_last_2,0.409600368593826,0.4096003685969931,0.4980470224015127,True,True,True,True,True,1.3172477595923318
B1_stress_m150_to_250,5000,1000,linear_last_20,0.4379257244437437,0.4379257244403655,0.4392727149696532,True,True,True,True,True,1.3151241638537623
B1_stress_m150_to_250,10000,5000,least_squares_last_50,0.8717136491796718,0.8717136491323759,0.873795209038128,True,True,True,True,True,2.6172225073501756
B1_stress_m150_to_250,50000,10000,least_squares_last_20,16.18254075219638,16.182540754128755,16.21086592929514,False,False,False,False,True,48.57594743562028
B1_stress_m150_to_250,100000,10000,least_squares_last_20,64.47016790925102,64.47016791356171,64.53385918516724,False,False,False,False,True,193.47419500797997
B1_stress_m150_to_250,200000,10000,least_squares_last_20,278.83923809819686,278.8392381074129,278.9737426779521,False,False,False,False,True,836.6522188835618
B1_stress_m150_to_250,250000,10000,least_squares_last_20,376.5675159660721,376.5675159776394,376.7370865830917,False,False,False,False,True,1129.8721185268032
B2_stress_0_to_300,100,50,linear_last_2,62.31657861144514,62.31657861143631,64.77589726095036,False,False,False,True,True,189.40905448383182
B2_stress_0_to_300,500,100,linear_last_2,498.75693545653104,498.7569354566145,520.7744774047792,False,False,False,True,True,1518.2883483179248
B2_stress_0_to_300,1000,500,linear_last_2,129.52340811160886,129.52340811476992,131.7962716946326,False,False,False,True,True,390.8430879210114
B2_stress_0_to_300,5000,1000,linear_last_2,1157.8166920679794,1157.8166920643273,1166.50659973418,False,False,False,True,True,3482.1399838664865
B2_stress_0_to_300,10000,5000,linear_last_2,166.61310756361334,166.61310756361976,166.92981708007764,False,False,False,True,True,500.1560322073108
B2_stress_0_to_300,50000,10000,linear_last_2,1347.9877123014437,1347.987712024271,1349.0488187122355,False,False,False,True,True,4045.0242430379503
B2_stress_0_to_300,100000,10000,linear_last_2,3789.299655215023,3789.2996545909455,3791.992316348367,False,False,False,True,True,11370.591626154335
B2_stress_0_to_300,150000,10000,linear_last_2,6395.439667962865,6395.439666991868,6399.787085696194,False,False,False,True,True,19190.666420650927
B2_stress_0_to_300,180000,10000,linear_last_2,7995.497100099665,7995.4970989205,8000.840463883937,False,False,False,True,True,23991.834662904104
