variable,value,base_cycle_value,mean_increment_cycles_2_to_10,delta_n,policy
STATEV1_end,0.350499925669,0.0702667832375,0.00718546519056,39,active_first_order_cycle_space
STATEV2_end,-78.5683670043,-85.9424591064,0.189079284668,39,active_first_order_cycle_space
STATEV3_end,39.2841835022,42.9712295532,-0.094539642334,39,active_first_order_cycle_space
STATEV4_end,39.2841835022,42.9712295532,-0.094539642334,39,active_first_order_cycle_space
STATEV5_end,9.12995793473e-15,1.89103408034e-15,1.85613432164e-16,39,near_zero_predicted_flagged
STATEV6_end,2.57723056298e-15,1.57150387987e-15,2.57878636696e-17,39,near_zero_predicted_flagged
STATEV7_end,-9.82053822818e-16,-1.78002985219e-15,2.046092383e-17,39,near_zero_predicted_flagged
STATEV8_end,-0.0018551691901,-0.00179540505633,-1.53241368632e-06,39,active_first_order_cycle_space
STATEV9_end,0.000927584595047,0.000897702528164,7.66206843158e-07,39,active_first_order_cycle_space
STATEV10_end,0.000927584595047,0.000897702528164,7.66206843158e-07,39,active_first_order_cycle_space
STATEV11_end,-1.50008569459e-18,-2.50127276099e-19,-3.20502158586e-20,39,near_zero_predicted_flagged
STATEV12_end,-8.87878326994e-19,-1.54258927686e-19,-1.88107538284e-20,39,near_zero_predicted_flagged
STATEV13_end,-9.12769374912e-20,-4.94534226677e-20,-1.07239781599e-21,39,near_zero_predicted_flagged
STATEV14_end,3.47446533635,0.701434910297,0.0717185309364,39,recomputed_from_predicted_STATEV1
STATEV15_end,0,0,0,39,reset_to_zero_for_injection
