Time_s,U1_mm,EngStrain,RF1_N,Avg_S11_MPa,Avg_SDV1_p,Avg_SDV15_dp
0,0,0,0,0,0,0
0.001,7.999999798e-05,7.999999798e-06,6.71999979,1.679999948,0,0
0.0020000001,0.000159999996,1.59999996e-05,13.43999958,3.359999895,0,0
0.0035000001,0.0002800000075,2.800000075e-05,23.52000046,5.880000114,0,0
0.00575,0.0004600000102,4.600000102e-05,38.63999939,9.659999847,0,0
0.0091249999,0.0007300000289,7.300000289e-05,61.31999969,15.32999992,0,0
0.0141875,0.001135000028,0.0001135000028,95.33999634,23.83499908,0,0
0.021781251,0.001742499997,0.0001742499997,146.3699951,36.59249878,0,0
0.033171874,0.002653749892,0.0002653749892,222.9149933,55.72874832,0,0
0.050257813,0.004020624794,0.0004020624794,337.7325134,84.43312836,0,0
0.070257813,0.00562062487,0.000562062487,472.1325073,118.0331268,0,0
0.090257816,0.007220624946,0.0007220624946,606.5324707,151.6331177,0,0
0.11025781,0.008820625022,0.0008820625022,740.9324951,185.2331238,0,0
0.13025782,0.0104206251,0.00104206251,875.3325195,218.8331299,0,0
0.15025781,0.01202062517,0.001202062517,1009.732483,252.4331207,0,0
0.17025781,0.01362062525,0.001362062525,1144.132446,286.0331116,0,0
0.19025782,0.01522062533,0.001522062533,1278.532471,319.6331177,0,0
0.21025781,0.01682062447,0.001682062447,1412.932495,353.2331238,0,0
0.23025781,0.01842062548,0.001842062548,1547.33252,386.8331299,0,0
0.25025782,0.01997937448,0.001997937448,1678.267456,419.566864,0,0
0.2702578,0.01837937534,0.001837937534,1543.867554,385.9668884,0,0
0.29025781,0.01677937433,0.001677937433,1409.467529,352.3668823,0,0
0.31025782,0.01517937519,0.001517937519,1275.067505,318.7668762,0,0
0.3302578,0.01357937511,0.001357937511,1140.66748,285.1668701,0,0
0.35025781,0.01197937503,0.001197937503,1006.267517,251.5668793,0,0
0.37025782,0.01037937496,0.001037937496,871.8674927,217.9668732,0,0
0.39025781,0.008779374883,0.0008779374883,737.4675293,184.3668823,0,0
0.41025782,0.007179374807,0.0007179374807,603.0675049,150.7668762,0,0
0.43025783,0.005579375196,0.0005579375196,468.667511,117.1668777,0,0
0.45025781,0.00397937512,0.000397937512,334.2674866,83.56687164,0,0
0.47025782,0.002379375044,0.0002379375044,199.8674927,49.96687317,0,0
0.4902578,0.0007793750265,7.793750265e-05,65.46749878,16.36687469,0,0
0.51025784,-0.0008206249913,-8.206249913e-05,-68.93250275,-17.23312569,0,0
0.53025782,-0.002420624951,-0.0002420624951,-203.3325043,-50.83312607,0,0
0.5502578,-0.004020624794,-0.0004020624794,-337.7325134,-84.43312836,0,0
0.57025778,-0.00562062487,-0.000562062487,-472.1325073,-118.0331268,0,0
0.59025782,-0.007220624946,-0.0007220624946,-606.5324707,-151.6331177,0,0
0.6102578,-0.008820625022,-0.0008820625022,-740.9324951,-185.2331238,0,0
0.63025779,-0.0104206251,-0.00104206251,-875.3325195,-218.8331299,0,0
0.65025783,-0.01202062517,-0.001202062517,-1009.732483,-252.4331207,0,0
0.67025781,-0.01362062525,-0.001362062525,-1144.132446,-286.0331116,0,0
0.69025779,-0.01522062533,-0.001522062533,-1278.532471,-319.6331177,0,0
0.71025783,-0.01682062447,-0.001682062447,-1412.932495,-353.2331238,0,0
0.73025781,-0.01842062548,-0.001842062548,-1547.33252,-386.8331299,0,0
0.75025779,-0.01997937448,-0.001997937448,-1678.267456,-419.566864,0,0
0.77025783,-0.01837937534,-0.001837937534,-1543.867554,-385.9668884,0,0
0.79025781,-0.01677937433,-0.001677937433,-1409.467529,-352.3668823,0,0
0.81025779,-0.01517937519,-0.001517937519,-1275.067505,-318.7668762,0,0
0.83025783,-0.01357937511,-0.001357937511,-1140.66748,-285.1668701,0,0
0.85025781,-0.01197937503,-0.001197937503,-1006.267517,-251.5668793,0,0
0.87025779,-0.01037937496,-0.001037937496,-871.8674927,-217.9668732,0,0
0.89025784,-0.008779374883,-0.0008779374883,-737.4675293,-184.3668823,0,0
0.91025782,-0.007179374807,-0.0007179374807,-603.0675049,-150.7668762,0,0
0.9302578,-0.005579375196,-0.0005579375196,-468.667511,-117.1668777,0,0
0.95025784,-0.00397937512,-0.000397937512,-334.2674866,-83.56687164,0,0
0.97025782,-0.002379375044,-0.0002379375044,-199.8674927,-49.96687317,0,0
0.9902578,-0.0007793750265,-7.793750265e-05,-65.46749878,-16.36687469,0,0
1,0,0,1.261213415e-13,3.15303339e-14,0,0
