Time_s,Cycle_Number,Phase_In_Cycle,U1_mm,EngStrain,RF1_N,Avg_S11_MPa,Avg_SDV1_p,Avg_SDV15_dp
0.1902578175,0.1902578175,0.1902578175,0.03805156425,0.003805156425,2401.684082,600.4210205,0.000946312095,0.0002946988679
0.2102578133,0.2102578133,0.2102578133,0.04205156118,0.004205156118,2477.710449,619.4276123,0.001255864394,0.000309552328
0.2302578092,0.2302578092,0.2302578092,0.04605156183,0.004605156183,2542.030273,635.5075684,0.001579259406,0.0003233949828
0.2502578199,0.2502578199,0.2502578199,0.049948439,0.0049948439,2592.849854,648.2124634,0.001907991595,0.0003287321888
0.2702578008,0.2702578008,0.2702578008,0.04594843835,0.004594843835,2256.955811,564.2389526,0.001907991595,0
0.2902578115,0.2902578115,0.2902578115,0.04194843769,0.004194843769,1920.955811,480.2389526,0.001907991595,0
0.3102578223,0.3102578223,0.3102578223,0.03794843704,0.003794843704,1584.955811,396.2389526,0.001907991595,0
0.3302578032,0.3302578032,0.3302578032,0.03394843638,0.003394843638,1248.955811,312.2389526,0.001907991595,0
0.3502578139,0.3502578139,0.3502578139,0.02994843759,0.002994843759,912.9558105,228.2389526,0.001907991595,0
0.3702578247,0.3702578247,0.3702578247,0.02594843693,0.002594843693,576.9558105,144.2389526,0.001907991595,0
0.3902578056,0.3902578056,0.3902578056,0.02194843814,0.002194843814,240.9557953,60.23894882,0.001907991595,0
0.4102578163,0.4102578163,0.4102578163,0.01794843748,0.001794843748,-95.04419708,-23.76104927,0.001907991595,0
0.430257827,0.430257827,0.430257827,0.01394843776,0.001394843776,-431.0441895,-107.7610474,0.001907991595,0
0.450257808,0.450257808,0.450257808,0.009948437102,0.0009948437102,-767.0441895,-191.7610474,0.001907991595,0
0.4702578187,0.4702578187,0.4702578187,0.005948437378,0.0005948437378,-1103.044189,-275.7610474,0.001907991595,0
0.4902577996,0.4902577996,0.4902577996,0.001948437537,0.0001948437537,-1439.044189,-359.7610474,0.001907991595,0
0.5102578402,0.5102578402,0.5102578402,-0.002051562537,-0.0002051562537,-1671.994019,-417.9985046,0.002030926989,0.0001229354821
