Time_s,U1_mm,RF1_N,Avg_S11_MPa,Avg_SDV1_p,Avg_SDV15_dp
0,0,0,0,0,0
0.001,0.002000000095,168,42,0,0
0.0020000001,0.00400000019,336,84,0,0
0.0035000001,0.007000000216,588,147,0,0
0.00575,0.01150000002,966,241.5,0,0
0.0091249999,0.01824999973,1533,383.25,0,0
0.0141875,0.02837499976,2163.799805,540.9499512,0.0002616024867,0.0002616024867
0.021781251,0.04356250167,2599.503906,649.8759766,0.001261602505,0.001000000047
0.033171874,0.06634374708,3673.128906,918.2822266,0.002261602553,0.001000000047
0.050257813,0.1005156264,5703.566406,1425.891602,0.003261602484,0.001000000047
0.070257813,0.1405156255,8223.566406,2055.891602,0.004261602648,0.001000000047
0.090257816,0.180515632,10743.56641,2685.891602,0.005261602346,0.001000000047
0.11025781,0.2205156237,13263.56641,3315.891602,0.00626160251,0.001000000047
0.13025782,0.2605156302,15783.56641,3945.891602,0.007261602674,0.001000000047
0.15025781,0.3005156219,18303.56641,4575.891602,0.008261602372,0.001000000047
0.17025781,0.3405156136,20823.56641,5205.891602,0.009261602536,0.001000000047
0.19025782,0.380515635,23343.56641,5835.891602,0.0102616027,0.001000000047
0.21025781,0.4205156267,25863.56641,6465.891602,0.01126160286,0.001000000047
0.23025781,0.4605156183,28383.56641,7095.891602,0.0122616021,0.001000000047
0.25025782,0.4994843602,30816.94141,7704.235352,0.01326160226,0.001000000047
0.2702578,0.4594843686,26616.94141,6654.235352,0.01426160242,0.001000000047
0.29025781,0.4194843769,22416.94141,5604.235352,0.01526160259,0.001000000047
0.31025782,0.3794843853,18216.94141,4554.235352,0.01626160182,0.001000000047
0.3302578,0.3394843638,14016.94141,3504.235352,0.01726160198,0.001000000047
0.35025781,0.2994843721,9816.941406,2454.235352,0.01826160215,0.001000000047
0.37025782,0.2594843805,5616.941406,1404.235352,0.01926160231,0.001000000047
0.39025781,0.2194843739,2256.941406,564.2353516,0.01926160231,0
0.41025782,0.1794843823,-1103.058594,-275.7646484,0.01926160231,0
0.43025783,0.1394843757,-3623.058594,-905.7646484,0.02026160248,0.001000000047
0.45025781,0.09948437661,-6143.058594,-1535.764648,0.02126160264,0.001000000047
0.47025782,0.05948437378,-8663.058594,-2165.764648,0.0222616028,0.001000000047
0.4902578,0.01948437467,-11183.05859,-2795.764648,0.02326160297,0.001000000047
0.51025784,-0.02051562443,-13703.05859,-3425.764648,0.02426160313,0.001000000047
0.53025782,-0.06051562354,-16223.05859,-4055.764648,0.0252616033,0.001000000047
0.5502578,-0.1005156264,-18743.05859,-4685.764648,0.0262616016,0.001000000047
0.57025778,-0.1405156255,-21263.05859,-5315.764648,0.02726160176,0.001000000047
0.59025782,-0.180515632,-23783.05859,-5945.764648,0.02826160192,0.001000000047
0.6102578,-0.2205156237,-26303.05859,-6575.764648,0.02926160209,0.001000000047
0.63025779,-0.2605156302,-28823.05859,-7205.764648,0.03026160225,0.001000000047
0.65025783,-0.3005156219,-31343.05859,-7835.764648,0.03126160428,0.001000000047
0.67025781,-0.3405156136,-33863.05859,-8465.764648,0.03226160258,0.001000000047
0.69025779,-0.380515635,-36383.05859,-9095.764648,0.03326160088,0.001000000047
0.71025783,-0.4205156267,-38903.05859,-9725.764648,0.03426160291,0.001000000047
0.73025781,-0.4605156183,-41423.05859,-10355.76465,0.03526160121,0.001000000047
0.75025779,-0.4994843602,-43856.43359,-10964.1084,0.03626160324,0.001000000047
0.77025783,-0.4594843686,-39656.43359,-9914.108398,0.03726160154,0.001000000047
0.79025781,-0.4194843769,-35456.43359,-8864.108398,0.03826160356,0.001000000047
0.81025779,-0.3794843853,-31256.43359,-7814.108398,0.03926160187,0.001000000047
0.83025783,-0.3394843638,-27056.43359,-6764.108398,0.04026160389,0.001000000047
0.85025781,-0.2994843721,-22856.43359,-5714.108398,0.04126160219,0.001000000047
0.87025779,-0.2594843805,-18656.43359,-4664.108398,0.04226160422,0.001000000047
0.89025784,-0.2194843739,-14456.43359,-3614.108398,0.04326160252,0.001000000047
0.91025782,-0.1794843823,-10256.43359,-2564.108398,0.04426160082,0.001000000047
0.9302578,-0.1394843757,-6056.433594,-1514.108398,0.04526160285,0.001000000047
0.95025784,-0.09948437661,-2683.277588,-670.819397,0.04527520388,1.360210717e-05
0.97025782,-0.05948437378,674.9921875,168.7480469,0.04527520388,0
0.9902578,-0.01948437467,3194.992188,798.7480469,0.04627520591,0.001000000047
1,0,3991.679688,997.9199219,0.04727520421,0.001000000047
