Time_s,U1_mm,EngStrain,RF1_N,Avg_S11_MPa,Avg_SDV1_p,Avg_SDV15_dp
0,0,0,0,0,0,0
0.001,3.999999899e-05,3.999999899e-06,3.359999895,0.8399999738,0,0
0.0020000001,7.999999798e-05,7.999999798e-06,6.71999979,1.679999948,0,0
0.0035000001,0.0001400000037,1.400000037e-05,11.76000023,2.940000057,0,0
0.00575,0.0002300000051,2.300000051e-05,19.31999969,4.829999924,0,0
0.0091249999,0.0003650000144,3.650000144e-05,30.65999985,7.664999962,0,0
0.0141875,0.0005675000139,5.675000139e-05,47.66999817,11.91749954,0,0
0.021781251,0.0008712499985,8.712499985e-05,73.18499756,18.29624939,0,0
0.033171874,0.001326874946,0.0001326874946,111.4574966,27.86437416,0,0
0.050257813,0.002010312397,0.0002010312397,168.8662567,42.21656418,0,0
0.070257813,0.002810312435,0.0002810312435,236.0662537,59.01656342,0,0
0.090257816,0.003610312473,0.0003610312473,303.2662354,75.81655884,0,0
0.11025781,0.004410312511,0.0004410312511,370.4662476,92.61656189,0,0
0.13025782,0.005210312549,0.0005210312549,437.6662598,109.4165649,0,0
0.15025781,0.006010312587,0.0006010312587,504.8662415,126.2165604,0,0
0.17025781,0.006810312625,0.0006810312625,572.0662231,143.0165558,0,0
0.19025782,0.007610312663,0.0007610312663,639.2662354,159.8165588,0,0
0.21025781,0.008410312235,0.0008410312235,706.4662476,176.6165619,0,0
0.23025781,0.009210312739,0.0009210312739,773.6662598,193.4165649,0,0
0.25025782,0.009989687242,0.0009989687242,839.133728,209.783432,0,0
0.2702578,0.009189687669,0.0009189687669,771.9337769,192.9834442,0,0
0.29025781,0.008389687166,0.0008389687166,704.7337646,176.1834412,0,0
0.31025782,0.007589687593,0.0007589687593,637.5337524,159.3834381,0,0
0.3302578,0.006789687555,0.0006789687555,570.3337402,142.5834351,0,0
0.35025781,0.005989687517,0.0005989687517,503.1337585,125.7834396,0,0
0.37025782,0.005189687479,0.0005189687479,435.9337463,108.9834366,0,0
0.39025781,0.004389687441,0.0004389687441,368.7337646,92.18344116,0,0
0.41025782,0.003589687403,0.0003589687403,301.5337524,75.38343811,0,0
0.43025783,0.002789687598,0.0002789687598,234.3337555,58.58343887,0,0
0.45025781,0.00198968756,0.000198968756,167.1337433,41.78343582,0,0
0.47025782,0.001189687522,0.0001189687522,99.93374634,24.98343658,0,0
0.4902578,0.0003896875132,3.896875132e-05,32.73374939,8.183437347,0,0
0.51025784,-0.0004103124957,-4.103124957e-05,-34.46625137,-8.616562843,0,0
0.53025782,-0.001210312475,-0.0001210312475,-101.6662521,-25.41656303,0,0
0.5502578,-0.002010312397,-0.0002010312397,-168.8662567,-42.21656418,0,0
0.57025778,-0.002810312435,-0.0002810312435,-236.0662537,-59.01656342,0,0
0.59025782,-0.003610312473,-0.0003610312473,-303.2662354,-75.81655884,0,0
0.6102578,-0.004410312511,-0.0004410312511,-370.4662476,-92.61656189,0,0
0.63025779,-0.005210312549,-0.0005210312549,-437.6662598,-109.4165649,0,0
0.65025783,-0.006010312587,-0.0006010312587,-504.8662415,-126.2165604,0,0
0.67025781,-0.006810312625,-0.0006810312625,-572.0662231,-143.0165558,0,0
0.69025779,-0.007610312663,-0.0007610312663,-639.2662354,-159.8165588,0,0
0.71025783,-0.008410312235,-0.0008410312235,-706.4662476,-176.6165619,0,0
0.73025781,-0.009210312739,-0.0009210312739,-773.6662598,-193.4165649,0,0
0.75025779,-0.009989687242,-0.0009989687242,-839.133728,-209.783432,0,0
0.77025783,-0.009189687669,-0.0009189687669,-771.9337769,-192.9834442,0,0
0.79025781,-0.008389687166,-0.0008389687166,-704.7337646,-176.1834412,0,0
0.81025779,-0.007589687593,-0.0007589687593,-637.5337524,-159.3834381,0,0
0.83025783,-0.006789687555,-0.0006789687555,-570.3337402,-142.5834351,0,0
0.85025781,-0.005989687517,-0.0005989687517,-503.1337585,-125.7834396,0,0
0.87025779,-0.005189687479,-0.0005189687479,-435.9337463,-108.9834366,0,0
0.89025784,-0.004389687441,-0.0004389687441,-368.7337646,-92.18344116,0,0
0.91025782,-0.003589687403,-0.0003589687403,-301.5337524,-75.38343811,0,0
0.9302578,-0.002789687598,-0.0002789687598,-234.3337555,-58.58343887,0,0
0.95025784,-0.00198968756,-0.000198968756,-167.1337433,-41.78343582,0,0
0.97025782,-0.001189687522,-0.0001189687522,-99.93374634,-24.98343658,0,0
0.9902578,-0.0003896875132,-3.896875132e-05,-32.73374939,-8.183437347,0,0
1,0,0,6.306067076e-14,1.576516695e-14,0,0
