frame_label,step_name,frame_value,description,STATEV1,STATEV2,STATEV3,STATEV4,STATEV5,STATEV6,STATEV7,STATEV8,STATEV9,STATEV10,STATEV11,STATEV12,STATEV13,STATEV14,STATEV15,S11,S22,S33,S12,S13,S23,RIGHT_FACE_U1_AVG,RIGHT_FACE_RF1_SUM,right_face_node_set,STATEV1_count,stress_count,right_face_u_count,right_face_rf_count
first,CYCLIC_CONT_PREDICTED_C29_TO_C30,0,Increment      0: Step Time =    0.000,0.206790626049,-82.3499526978,41.1749763489,41.1749763489,5.41768922272e-15,2.06147321164e-15,-1.39127226229e-15,-0.00182452087756,0.000912260438781,0.000912260438781,-8.59081401563e-19,-5.11663269544e-19,-6.98289781869e-20,2.05725240707,0,342.232147217,-2.60532342092e-14,-2.79282771632e-14,7.78029916426e-14,-2.6281933105e-14,1.45367489476e-14,0,1368.92858887,RIGHT_FACE,8,8,4,4
final,CYCLIC_CONT_PREDICTED_C29_TO_C30,1,Increment     57: Step Time =    1.000,0.213811308146,-86.0177764893,43.0088882446,43.0088882446,7.44912204197e-15,3.04176698052e-16,-1.29461819957e-15,-0.00198271800764,0.00099135900382,0.00099135900382,-1.37977576522e-19,-7.13883428886e-19,3.94504365722e-21,2.12672495842,0,375.453552246,1.88737914186e-15,3.99680288865e-15,1.57621380657e-14,-7.55258338259e-15,4.53072875699e-15,0,1501.81420898,RIGHT_FACE,8,8,4,4
