component,value,base_cycle_value,mean_increment_cycles_2_to_10,delta_n,policy
S11,342.232143826,336.117858887,0.321804470487,19,first_order_cycle_space
S22,-2.60532336446e-14,-3.5527136788e-15,-1.18423789294e-15,19,first_order_cycle_space
S33,-2.7928276975e-14,-3.5527136788e-15,-1.28292438401e-15,19,first_order_cycle_space
S12,7.78029948368e-14,3.57134500227e-15,3.90692893866e-15,19,first_order_cycle_space
S13,-2.62819331652e-14,6.9170483948e-16,-1.41966515814e-15,19,first_order_cycle_space
S23,1.45367494564e-14,6.78603680962e-15,4.07932244568e-16,19,first_order_cycle_space
