case_id,job,oldjob,checkpoint_cycle,checkpoint_inc,target_cycle
R2C1_100_to_250,stage16n_r2c1_native_restart_100_to_250,stage16n_r1b_restart_ref_250cycles,100,53,250
R2C2_250_to_500,stage16n_r2c2_native_restart_250_to_500,stage16n_r1a_restart_ref_500cycles,250,58,500
