kind,cycle,metric,jump_value,reference_value,error_pct
global_cycle_metric,750,U1_max,0.10000000149,0.10000000149,0
global_cycle_metric,750,U1_min,-0.10000000149,-0.10000000149,0
global_cycle_metric,750,RF1_max,2908.23631287,2939.82440948,1.0744892
global_cycle_metric,750,RF1_min,-3074.81468964,-3020.62918854,1.7938482
global_cycle_metric,750,loop_area_abs,577.068865469,568.153081977,1.5692573
primary_local_scalar,750,HOLE_RING_MISES_MAX,492.837049686,430.700698148,14.426805
primary_local_scalar,750,HOLE_RING_SDV1_MAX,18.2650032043,19.5627155304,6.6336001
primary_local_scalar,750,HOLE_RING_SDV8_MAX,92.4499893188,84.4680480957,9.4496575
primary_local_scalar,750,HOLE_RING_SDV11_MAX,61.3074913025,57.0726051331,7.4201732
diagnostic_local_scalar,750,HOLE_RING_S11_MAX_ABS,535.36932373,479.236755371,11.71291
