cycle,points,U1_max,U1_min,RF1_max,RF1_min,RF1_mean,loop_area_abs
101,62,0.0996562466025,-0.0962812528014,2957.92733765,-3037.49810028,371.348233073,548.659223299
102,58,0.0982500016689,-0.0992500036955,2904.56519318,-3086.3469696,477.374601302,556.900025365
103,64,0.0953867211938,-0.0971132814884,2895.34424591,-3047.02550507,661.357201624,542.02973011
104,60,0.0969335958362,-0.0969335958362,2906.66481781,-3101.64831543,681.322994494,544.718253281
105,59,0.0982500016689,-0.0982500016689,2911.10318756,-2998.17514038,238.636357965,553.409859215
106,64,0.0995000004768,-0.0995000004768,2968.98311615,-3053.67501068,360.679500945,558.585873872
107,67,0.0954999998212,-0.099929690361,2944.05599213,-3031.8157959,228.082408437,545.583929308
108,64,0.0997499972582,-0.0971250012517,2971.07152557,-3007.21579742,387.505841898,553.532606842
109,55,0.0977500006557,-0.0972499996424,2957.16585541,-3033.30886841,380.129786572,548.445511946
110,56,0.0957499966025,-0.0982500016689,2925.77268982,-3032.25717926,432.762784954,549.323997516
111,55,0.0967499986291,-0.0992500036955,2924.65662384,-3056.8923111,401.515133048,555.776483023
112,58,0.0992812514305,-0.0982187464833,2941.55530548,-3080.79009247,446.792885059,558.763480277
113,67,0.0991835966706,-0.0976914092898,2922.46231079,-3014.30949402,520.439147512,552.97312273
114,70,0.0950625017285,-0.0961484387517,2920.97562408,-2978.44406128,276.033655443,534.355321282
115,58,0.0962499976158,-0.0987500026822,2919.36383057,-3030.79654694,489.768094798,550.457940191
116,56,0.0957499966025,-0.0982500016689,2926.05247498,-3033.45475769,434.883704778,549.682420741
117,55,0.0967499986291,-0.0992500036955,2924.74524689,-3057.3738327,401.56932716,555.83304357
118,55,0.0967499986291,-0.0992500036955,2924.8896637,-3057.64118958,402.627004483,555.978051423
119,55,0.0967499986291,-0.0992500036955,2924.87311554,-3057.7587738,402.618365606,555.988104956
120,55,0.0967499986291,-0.0992500036955,2924.88011932,-3057.82463074,402.614399655,555.994401759
121,55,0.0967499986291,-0.0992500036955,2924.89454651,-3057.86959839,402.61193004,555.998911249
122,55,0.0967499986291,-0.0992500036955,2924.91254425,-3057.90428925,402.612867989,556.00285034
123,55,0.0967499986291,-0.0992500036955,2924.93117523,-3057.93385315,402.614422824,556.006329385
124,55,0.0967499986291,-0.0992500036955,2924.94949341,-3057.96040344,402.616150748,556.009511201
125,55,0.0967499986291,-0.0992500036955,2924.96728516,-3057.98497772,402.61787388,556.012476097
126,55,0.0967499986291,-0.0992500036955,2924.98419189,-3058.00804901,402.619522378,556.01526057
127,55,0.0967499986291,-0.0992500036955,2925.00028229,-3058.02993011,402.621064993,556.017889249
128,55,0.0967499986291,-0.0992500036955,2925.01567078,-3058.05072784,402.622505521,556.020377907
129,55,0.0967499986291,-0.0992500036955,2925.03026581,-3058.07051086,402.623842098,556.022737358
130,55,0.0967499986291,-0.0992500036955,2925.04415894,-3058.08933258,402.62509672,556.024973557
131,55,0.0967499986291,-0.0992500036955,2925.05734253,-3058.10728455,402.62626479,556.02709485
132,55,0.0967499986291,-0.0992500036955,2925.06998444,-3058.12438202,402.627361354,556.02910955
133,55,0.0967499986291,-0.0992500036955,2925.0819397,-3058.1407547,402.628383542,556.031022391
134,55,0.0967499986291,-0.0992500036955,2925.09338379,-3058.15635681,402.629351068,556.032838406
135,55,0.0967499986291,-0.0992500036955,2925.10424805,-3058.17131042,402.630256019,556.034564675
136,55,0.0967499986291,-0.0992500036955,2925.11460114,-3058.18556213,402.631118204,556.036201589
137,55,0.0967499986291,-0.0992500036955,2925.12452698,-3058.19915771,402.631935641,556.03775914
138,55,0.0967499986291,-0.0992500036955,2925.1340332,-3058.21215057,402.632710025,556.039240612
139,55,0.0967499986291,-0.0992500036955,2925.14302063,-3058.22457886,402.633443366,556.040646915
140,55,0.0967499986291,-0.0992500036955,2925.15167236,-3058.23643494,402.634137219,556.041984993
141,55,0.0967499986291,-0.0992500036955,2925.15991974,-3058.24778748,402.634792122,556.043258143
142,55,0.0967499986291,-0.0992500036955,2925.1678009,-3058.25866699,402.635411364,556.044468715
143,55,0.0967499986291,-0.0992500036955,2925.17528534,-3058.26904297,402.636009772,556.04562112
144,55,0.0967499986291,-0.0992500036955,2925.18250275,-3058.27899933,402.63656874,556.046719356
145,55,0.0967499986291,-0.0992500036955,2925.18939972,-3058.2885437,402.637103373,556.0477645
146,55,0.0967499986291,-0.0992500036955,2925.19597626,-3058.29766846,402.637610488,556.048758357
147,55,0.0967499986291,-0.0992500036955,2925.20228577,-3058.30643463,402.638095607,556.049706449
148,55,0.0967499986291,-0.0992500036955,2925.20837402,-3058.31479645,402.638553851,556.050610685
149,55,0.0967499986291,-0.0992500036955,2925.21416473,-3058.32287598,402.638988929,556.051468693
150,55,0.0967499986291,-0.0992500036955,2925.21972656,-3058.33060455,402.639406994,556.052289325
151,55,0.0967499986291,-0.0992500036955,2925.22506714,-3058.33799744,402.639807222,556.053071101
152,55,0.0967499986291,-0.0992500036955,2925.23016357,-3058.3451004,402.640189549,556.053816357
153,55,0.0967499986291,-0.0992500036955,2925.23505402,-3058.35194397,402.640556065,556.05452668
154,55,0.0967499986291,-0.0992500036955,2925.23973846,-3058.35849762,402.640908237,556.055203624
155,55,0.0967499986291,-0.0992500036955,2925.24429321,-3058.36481476,402.64123984,556.055852159
156,59,0.0967499986291,-0.0982500016689,2925.24865723,-3077.94697571,455.253555279,551.233594973
157,55,0.0960000008345,-0.0989999994636,2932.80501556,-3081.8241806,361.034788791,552.253897798
158,63,0.0966132804751,-0.099113278091,2883.15760803,-3058.90524292,637.692004538,553.647416215
159,60,0.0969335958362,-0.0969335958362,2908.04109955,-3103.59574127,684.05955826,545.231322648
160,64,0.0982500016689,-0.0992500036955,2911.9084549,-3066.90573883,367.876870658,557.28313576
161,58,0.0977500006557,-0.0972499996424,2914.62315369,-3070.42405701,418.317736109,550.479830413
162,66,0.0954999998212,-0.095710940659,2942.22932434,-2981.01696777,164.747729814,533.852878071
163,59,0.0957499966025,-0.0992500036955,2933.02976227,-3051.2048111,510.525502117,545.660262874
164,57,0.0974687486887,-0.0974687486887,2949.87658691,-3100.11946106,576.988202149,548.885376651
165,56,0.0982500016689,-0.0967499986291,2913.58104706,-3069.34115601,361.954107439,550.937234366
166,64,0.0977500006557,-0.0972499996424,2912.41581726,-3071.68932343,448.917452517,552.701344638
167,64,0.0953867211938,-0.0971132814884,2896.49761963,-3048.73632812,663.811128998,542.4813951
168,60,0.0969335958362,-0.0969335958362,2907.54615784,-3103.16710663,681.488464711,544.901037344
169,59,0.0982500016689,-0.0982500016689,2911.95994568,-2999.41645813,238.663697967,553.559007022
170,63,0.0995000004768,-0.0989374965429,2969.84399414,-3012.90510559,355.798209232,557.605524582
171,58,0.0977500006557,-0.0972499996424,2915.12360382,-3067.8950119,416.44608112,549.878835191
172,55,0.0977500006557,-0.0972499996424,2956.01554108,-3038.37042236,381.745183249,549.123168121
173,59,0.0977500006557,-0.0972499996424,2912.67324829,-3071.19207001,442.427165166,549.911465756
174,64,0.0977500006557,-0.0972499996424,2913.06222534,-3071.61602783,450.812696333,552.962255684
175,67,0.0991835966706,-0.0976914092898,2923.24674225,-3015.15439606,521.727795056,553.235593889
176,71,0.0950625017285,-0.0996328145266,2921.56300354,-3037.09244537,330.669948385,543.743724377
177,56,0.0977500006557,-0.0997499972582,2958.63455963,-3071.201828,405.46713798,554.857374358
178,82,0.0989687517285,-0.0997597649693,2960.0490799,-3008.94544983,75.2448687437,548.938562982
179,59,0.0962499976158,-0.0987500026822,2925.56518555,-3072.8055954,488.894205525,548.676748569
180,61,0.0997499972582,-0.0971250012517,2970.73552704,-3010.9296875,323.177332418,554.133459873
181,63,0.0982500016689,-0.0967499986291,2906.96977997,-3066.02288818,516.546986551,549.411595085
