cycle,frame_index,frame_time,engineering_strain,S11,STATEV1
1,0,0.0,0.0,0.0,0.0
1,1,0.0010000000474974513,1.9999999494757503e-05,4.199999809265137,0.0
1,2,0.0020000000949949026,3.9999998989515007e-05,8.399999618530273,0.0
1,3,0.0035000001080334187,6.99999975040555e-05,14.699999809265137,0.0
1,4,0.005750000011175871,0.00011500000255182385,24.149999618530273,0.0
1,5,0.00912499986588955,0.0001825000043027103,38.32500076293945,0.0
1,6,0.01418749988079071,0.00028375000692903996,59.587501525878906,0.0
1,7,0.021781250834465027,0.0004356250166893005,91.48124694824219,0.0
1,8,0.0331718735396862,0.000663437508046627,139.32186889648438,0.0
1,9,0.050257813185453415,0.0010051562450826168,211.0828094482422,0.0
1,10,0.07025781273841858,0.0014051562175154686,295.08282470703125,0.0
1,11,0.09025781601667404,0.001805156283080578,379.08282470703125,0.0
1,12,0.11025781184434891,0.002205156162381172,463.08282470703125,0.0
1,13,0.13025781512260437,0.0026051562279462816,527.532470703125,9.329173917649314e-05
1,14,0.15025781095027924,0.0030051562935113907,552.9075317382812,0.0003726552240550518
1,15,0.1702578067779541,0.0034051563590764998,578.2535400390625,0.0006516132270917296
1,16,0.19025781750679016,0.0038051564246416093,600.4210205078125,0.0009463120950385928
1,17,0.21025781333446503,0.004205156117677689,619.4276123046875,0.0012558643938973546
1,18,0.2302578091621399,0.004605156183242798,635.507568359375,0.0015792594058439136
1,19,0.25025781989097595,0.004994843900203705,648.2124633789062,0.0019079915946349502
1,20,0.2702578008174896,0.004594843834638596,564.2389526367188,0.0019079915946349502
1,21,0.2902578115463257,0.0041948437690734865,480.23895263671875,0.0019079915946349502
1,22,0.31025782227516174,0.003794843703508377,396.23895263671875,0.0019079915946349502
1,23,0.3302578032016754,0.003394843637943268,312.23895263671875,0.0019079915946349502
1,24,0.3502578139305115,0.0029948437586426735,228.23895263671875,0.0019079915946349502
1,25,0.37025782465934753,0.0025948436930775644,144.23895263671875,0.0019079915946349502
1,26,0.3902578055858612,0.00219484381377697,60.238948822021484,0.0019079915946349502
1,27,0.41025781631469727,0.0017948437482118607,-23.761049270629883,0.0019079915946349502
1,28,0.4302578270435333,0.001394843775779009,-107.76104736328125,0.0019079915946349502
1,29,0.450257807970047,0.0009948437102138997,-191.76104736328125,0.0019079915946349502
1,30,0.47025781869888306,0.0005948437377810478,-275.76104736328125,0.0019079915946349502
1,31,0.49025779962539673,0.00019484375370666386,-359.76104736328125,0.0019079915946349502
1,32,0.5102578401565552,-0.0002051562536507845,-417.9985046386719,0.002030926989391446
1,33,0.5302578210830688,-0.000605156272649765,-451.03509521484375,0.00227360799908638
1,34,0.5502578020095825,-0.0010051562450826168,-488.0284423828125,0.002496807835996151
1,35,0.5702577829360962,-0.0014051562175154686,-520.4275512695312,0.002743309363722801
1,36,0.5902578234672546,-0.001805156283080578,-549.5421142578125,0.003004692494869232
1,37,0.6102578043937683,-0.002205156162381172,-575.2870483398438,0.00328205362893641
1,38,0.630257785320282,-0.0026051562279462816,-597.78173828125,0.003574916161596775
1,39,0.6502578258514404,-0.0030051562935113907,-617.1556396484375,0.0038826463278383017
1,40,0.6702578067779541,-0.0034051563590764998,-633.60107421875,0.0042043146677315235
1,41,0.6902577877044678,-0.0038051564246416093,-647.3643188476562,0.004538747947663069
1,42,0.7102578282356262,-0.004205156117677689,-658.7273559570312,0.004884607158601284
1,43,0.7302578091621399,-0.004605156183242798,-667.9896240234375,0.005240467842668295
1,44,0.7502577900886536,-0.004994843900203705,-674.7499389648438,0.005597596522420645
1,45,0.770257830619812,-0.004594843834638596,-590.7783813476562,0.005597596522420645
1,46,0.7902578115463257,-0.0041948437690734865,-506.77838134765625,0.005597596522420645
1,47,0.8102577924728394,-0.003794843703508377,-422.77838134765625,0.005597596522420645
1,48,0.8302578330039978,-0.003394843637943268,-338.77838134765625,0.005597596522420645
1,49,0.8502578139305115,-0.0029948437586426735,-254.77838134765625,0.005597596522420645
1,50,0.8702577948570251,-0.0025948436930775644,-170.77838134765625,0.005597596522420645
