variable,value,base_cycle_value,mean_increment_cycles_2_to_10,delta_n,policy
STATEV1_end,3.58395926142,0.0702667832375,0.00718546519056,489,active_first_order_cycle_space
STATEV2_end,6.51731109634,-85.9424591064,0.189079284668,489,active_first_order_cycle_space
STATEV3_end,-3.25865554812,42.9712295532,-0.094539642334,489,active_first_order_cycle_space
STATEV4_end,-3.25865554812,42.9712295532,-0.094539642334,489,active_first_order_cycle_space
STATEV5_end,9.26560024085e-14,1.89103408034e-15,1.85613432164e-16,489,near_zero_predicted_flagged
STATEV6_end,1.41817692143e-14,1.57150387987e-15,2.57878636696e-17,489,near_zero_predicted_flagged
STATEV7_end,8.2253619007e-15,-1.78002985219e-15,2.046092383e-17,489,near_zero_predicted_flagged
STATEV8_end,-0.00254475534894,-0.00179540505633,-1.53241368632e-06,489,active_first_order_cycle_space
STATEV9_end,0.00127237767447,0.000897702528164,7.66206843158e-07,489,active_first_order_cycle_space
STATEV10_end,0.00127237767447,0.000897702528164,7.66206843158e-07,489,active_first_order_cycle_space
STATEV11_end,-1.5922682831e-17,-2.50127276099e-19,-3.20502158586e-20,489,near_zero_predicted_flagged
STATEV12_end,-9.35271754978e-18,-1.54258927686e-19,-1.88107538284e-20,489,near_zero_predicted_flagged
STATEV13_end,-5.73855954685e-19,-4.94534226677e-20,-1.07239781599e-21,489,near_zero_predicted_flagged
STATEV14_end,32.8119204625,0.701434910297,0.0717185309364,489,recomputed_from_predicted_STATEV1
STATEV15_end,0,0,0,489,reset_to_zero_for_injection
