component,value,base_cycle_value,mean_increment_cycles_2_to_10,delta_n,policy
S11,493.480244955,336.117858887,0.321804470487,489,first_order_cycle_space
S22,-5.82645043325e-13,-3.5527136788e-15,-1.18423789294e-15,489,first_order_cycle_space
S33,-6.3090273746e-13,-3.5527136788e-15,-1.28292438401e-15,489,first_order_cycle_space
S12,1.91405959601e-12,3.57134500227e-15,3.90692893866e-15,489,first_order_cycle_space
S13,-6.93524557492e-13,6.9170483948e-16,-1.41966515814e-15,489,first_order_cycle_space
S23,2.06264904403e-13,6.78603680962e-15,4.07932244568e-16,489,first_order_cycle_space
