quantity,cycle50_reference_value,source,lower_time,upper_time,alpha
STATEV1,0.356620669365,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV2,-85.7244033813,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV3,42.8622016907,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV4,42.8622016907,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV5,1.21904484551e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV6,2.61535492807e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV7,-2.03693836218e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV8,-0.00178406597115,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV9,0.000892032985575,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV10,0.000892032985575,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV11,-6.1550201126e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV12,-2.78289837203e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV13,-1.7613346453e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV14,3.53460025787,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
STATEV15,0,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
S11,374.653869629,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
S22,4.10782519111e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
S33,-8.881784197e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
S12,6.87860528833e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
S13,-8.18394773896e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
S23,8.8078331199e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
RIGHT_FACE_U1_AVG,0,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
RIGHT_FACE_RF1_SUM,1498.61547852,linear_interpolation_between_bracketing_50cycle_ODB_frames,50,50,0
