case_name,dmax,inc_limit,completed,STATEV1_cycle20,STATEV2_cycle20,STATEV3_cycle20,STATEV4_cycle20,STATEV8_cycle20,STATEV9_cycle20,STATEV10_cycle20,STATEV14_cycle20,Avg_S11_cycle20,abs_diff_STATEV1_vs_reference,rel_diff_STATEV1_percent_vs_reference
chaboche_eps005_20cycles_dt_original_output,0.02,4000,true,0.142025694251,-85.8880233765,42.9440116882,42.9440116882,-0.0017925434513,0.000896271725651,0.000896271725651,1.41522598267,376.434143066,0,0
chaboche_eps005_20cycles_dtmax_0p01,0.01,4000,true,0.143569096923,-87.8605880737,43.9302940369,43.9302940369,-0.00181222101673,0.000906110508367,0.000906110508367,1.43055033684,380.566436768,0.001543402672,1.08670665554
chaboche_eps005_20cycles_dtmax_0p005_inc6000,0.005,6000,true,0.145257070661,-89.0449066162,44.5224533081,44.5224533081,-0.00183359021321,0.000916795106605,0.000916795106605,1.44730854034,385.053924561,0.00323137641,2.2752055021
