time_asym,peeq_elem278_asym,time_ratcheting,peeq_elem278_ratcheting
0.0,0.0,0.0,0.0
0.009999999776482582,0.0010421478655189276,0.009999999776482582,0.0010421478655189276
0.019999999552965164,0.002919645281508565,0.019999999552965164,0.002919645281508565
0.029999999329447746,0.0052436902187764645,0.029999999329447746,0.0052436902187764645
0.04500000178813934,0.008897732943296432,0.04500000178813934,0.008897732943296432
0.06499999761581421,0.013988411985337734,0.06499999761581421,0.013988411985337734
0.08500000089406967,0.01911662146449089,0.08500000089406967,0.01911662146449089
0.10499999672174454,0.024242473766207695,0.10499999672174454,0.024242473766207695
0.125,0.02933748997747898,0.125,0.02933748997747898
0.14499999582767487,0.03438965976238251,0.14499999582767487,0.03438965976238251
0.16500000655651093,0.039392661303281784,0.16500000655651093,0.039392661303281784
0.1850000023841858,0.04434279352426529,0.1850000023841858,0.04434279352426529
0.20499999821186066,0.049237653613090515,0.20499999821186066,0.049237653613090515
0.22499999403953552,0.054075419902801514,0.22499999403953552,0.054075419902801514
0.24500000476837158,0.05885449796915054,0.24500000476837158,0.05885449796915054
0.26499998569488525,0.05885449796915054,0.26499998569488525,0.05885449796915054
0.2849999964237213,0.06159969046711922,0.2849999964237213,0.06033730506896973
0.3050000071525574,0.06514900922775269,0.3050000071525574,0.06255898624658585
0.32499998807907104,0.06914409250020981,0.32499998807907104,0.0653625875711441
0.3449999988079071,0.07331687957048416,0.3449999988079071,0.06834260374307632
0.36500000953674316,0.07759592682123184,0.36500000953674316,0.07144922018051147
0.38499999046325684,0.08192258328199387,0.38499999046325684,0.07462917268276215
0.4050000011920929,0.0862480029463768,0.4050000011920929,0.0778517946600914
0.42500001192092896,0.09056549519300461,0.42500001192092896,0.08110207319259644
0.4449999928474426,0.09486351907253265,0.4449999928474426,0.08435351401567459
0.4650000035762787,0.09913691878318787,0.4650000035762787,0.08760249614715576
0.48500001430511475,0.1033828929066658,0.48500001430511475,0.09084278345108032
0.5049999952316284,0.1075998991727829,0.5049999952316284,0.09407113492488861
0.5249999761581421,0.11178714036941528,0.5249999761581421,0.09728547185659409
0.5450000166893005,0.11594422161579132,0.5450000166893005,0.1004844456911087
0.5649999976158142,0.1200709417462349,0.5649999976158142,0.10366720706224442
0.5849999785423279,0.12416715174913406,0.5849999785423279,0.10683324933052063
0.6050000190734863,0.1282326877117157,0.6050000190734863,0.10998227447271347
0.625,0.1322672963142395,0.625,0.1131141185760498
0.6449999809265137,0.1362706422805786,0.6449999809265137,0.11622869968414307
0.6650000214576721,0.14024223387241364,0.6650000214576721,0.11932598054409027
0.6850000023841858,0.1441815197467804,0.6850000023841858,0.12240592390298843
0.7049999833106995,0.1480877548456192,0.7049999833106995,0.12546850740909576
0.7250000238418579,0.15196014940738678,0.7250000238418579,0.1285136491060257
0.7450000047683716,0.1557977795600891,0.7450000047683716,0.13154128193855286
0.7649999856948853,0.1557977795600891,0.7649999856948853,0.13154128193855286
0.7850000262260437,0.15873481333255768,0.7850000262260437,0.1333865076303482
0.8050000071525574,0.16235287487506866,0.8050000071525574,0.13559971749782562
0.824999988079071,0.16635435819625854,0.824999988079071,0.13832604885101318
0.8450000286102295,0.17052017152309418,0.8450000286102295,0.14121943712234497
0.8650000095367432,0.1747828871011734,0.8650000095367432,0.14423631131649017
0.8849999904632568,0.1790858954191208,0.8849999904632568,0.1473269760608673
0.9049999713897705,0.18338502943515778,0.9049999713897705,0.15046122670173645
0.925000011920929,0.18767444789409637,0.925000011920929,0.15363207459449768
0.9449999928474426,0.19194303452968597,0.9449999928474426,0.1568060964345932
0.9649999737739563,0.19618584215641022,0.9649999737739563,0.1599791944026947
0.9850000143051147,0.20040008425712585,0.9850000143051147,0.16314436495304108
1.0049999952316284,0.2045842558145523,1.0049999952316284,0.1662977784872055
1.024999976158142,0.20873750746250153,1.024999976158142,0.16943688690662384
1.0449999570846558,0.21285945177078247,1.0449999570846558,0.17255990207195282
1.065000057220459,0.21694985032081604,1.065000057220459,0.17566567659378052
1.0850000381469727,0.2210085391998291,1.0850000381469727,0.17875337600708008
1.1050000190734863,0.2250353842973709,1.1050000190734863,0.18182243406772614
1.125,0.22903010249137878,1.125,0.18487249314785004
1.1449999809265137,0.23299238085746765,1.1449999809265137,0.1879032552242279
1.1649999618530273,0.2369217574596405,1.1649999618530273,0.19091454148292542
1.184999942779541,0.24081766605377197,1.184999942779541,0.19390614330768585
1.2050000429153442,0.24467939138412476,1.2050000429153442,0.19687794148921967
1.225000023841858,0.24850617349147797,1.225000023841858,0.19982972741127014
1.2450000047683716,0.2522971034049988,1.2450000047683716,0.20276136696338654
1.2649999856948853,0.2522971034049988,1.2649999856948853,0.20276136696338654
1.284999966621399,0.2552510201931,1.284999966621399,0.20461182296276093
1.3049999475479126,0.25889232754707336,1.3049999475479126,0.20688393712043762
1.3250000476837158,0.2629133462905884,1.3250000476837158,0.20967243611812592
1.3450000286102295,0.2670991122722626,1.3450000286102295,0.21263033151626587
1.3650000095367432,0.2713828384876251,1.3650000095367432,0.21571150422096252
1.3849999904632568,0.2757074534893036,1.3849999904632568,0.2188652902841568
1.4049999713897705,0.2800292670726776,1.4049999713897705,0.22206240892410278
1.4249999523162842,0.284342497587204,1.4249999523162842,0.2252914160490036
1.4450000524520874,0.2886360287666321,1.4450000524520874,0.22852292656898499
1.465000033378601,0.2929048240184784,1.465000033378601,0.2317531257867813
1.4850000143051147,0.29714614152908325,1.4850000143051147,0.23497545719146729
1.5049999952316284,0.3013584315776825,1.5049999952316284,0.23818641901016235
1.524999976158142,0.3055408298969269,1.524999976158142,0.24138373136520386
1.5449999570846558,0.30969294905662537,1.5449999570846558,0.24456585943698883
1.565000057220459,0.31381455063819885,1.565000057220459,0.24773181974887848
1.5850000381469727,0.3179054856300354,1.5850000381469727,0.2508809268474579
1.6050000190734863,0.3219655752182007,1.6050000190734863,0.254012793302536
1.625,0.3259945809841156,1.625,0.25712713599205017
1.6449999809265137,0.3299921751022339,1.6449999809265137,0.26022377610206604
1.6649999618530273,0.3339579105377197,1.6649999618530273,0.26330262422561646
1.684999942779541,0.33789119124412537,1.684999942779541,0.26636356115341187
1.7050000429153442,0.3417913615703583,1.7050000429153442,0.2694064676761627
1.725000023841858,0.3456576466560364,1.725000023841858,0.27243122458457947
1.7450000047683716,0.34948909282684326,1.7450000047683716,0.27543774247169495
1.7649999856948853,0.34948909282684326,1.7649999856948853,0.27543774247169495
1.784999966621399,0.35242995619773865,1.784999966621399,0.27727416157722473
1.8049999475479126,0.35605019330978394,1.8049999475479126,0.27950549125671387
1.8250000476837158,0.3600544333457947,1.8250000476837158,0.28225192427635193
1.8450000286102295,0.3642234206199646,1.8450000286102295,0.2851661145687103
1.8650000095367432,0.36848971247673035,1.8650000095367432,0.28820303082466125
1.8849999904632568,0.3727967441082001,1.8849999904632568,0.29131245613098145
1.9049999713897705,0.3771001696586609,1.9049999713897705,0.2944650948047638
1.9249999523162842,0.38139405846595764,1.9249999523162842,0.29765084385871887
1.9450000524520874,0.3856673240661621,1.9450000524520874,0.3008386790752411
1.965000033378601,0.38991492986679077,1.965000033378601,0.30402469635009766
1.9850000143051147,0.3941341042518616,1.9850000143051147,0.3072021007537842
2.0,0.3972817361354828,2.0,0.30957910418510437
