rank,element_label,final_frame_peeq_max_ip
1,278,0.30957910418510437
2,279,0.30957910418510437
3,282,0.30957910418510437
4,283,0.30957910418510437
5,262,0.29041042923927307
6,263,0.29041042923927307
7,266,0.29041042923927307
8,267,0.29041042923927307
9,258,0.27367234230041504
10,259,0.27367234230041504
