time,U1,RF_total_positive
0.0,0.0,0.0
0.009999999776482582,0.019999999552965164,1010.0747261047363
0.019999999552965164,0.03999999910593033,1034.71976852417
0.029999999329447746,0.05999999865889549,1057.7259254455566
0.04500000178813934,0.09000000357627869,1090.3978424072266
0.06499999761581421,0.12999999523162842,1130.6092109680176
0.08500000089406967,0.17000000178813934,1167.6075973510742
0.10499999672174454,0.20999999344348907,1201.7101783752441
0.125,0.25,1233.1491394042969
0.14499999582767487,0.28999999165534973,1262.1355743408203
0.16500000655651093,0.33000001311302185,1288.8623809814453
0.1850000023841858,0.3700000047683716,1313.5062675476074
0.20499999821186066,0.4099999964237213,1336.2293853759766
0.22499999403953552,0.44999998807907104,1357.1806030273438
0.24500000476837158,0.49000000953674316,1376.4970741271973
0.26499998569488525,0.4699999988079071,-312.9490761756897
0.2849999964237213,0.4300000071525574,-694.4660511016846
0.3050000071525574,0.38999998569488525,-766.0418090820312
0.32499998807907104,0.3499999940395355,-831.6350250244141
0.3449999988079071,0.3100000023841858,-891.937328338623
0.36500000953674316,0.27000001072883606,-947.3440284729004
0.38499999046325684,0.23000000417232513,-998.3160057067871
0.4050000011920929,0.1899999976158142,-1045.4150657653809
0.42500001192092896,0.15000000596046448,-1088.8533554077148
0.4449999928474426,0.10999999940395355,-1128.9209251403809
0.4650000035762787,0.07000000029802322,-1165.882797241211
0.48500001430511475,0.029999999329447746,-1199.9815368652344
0.5049999952316284,-0.009999999776482582,-1231.439094543457
0.5249999761581421,-0.05000000074505806,-1260.459327697754
0.5450000166893005,-0.09000000357627869,-1287.2299575805664
0.5649999976158142,-0.12999999523162842,-1311.9238815307617
0.5849999785423279,-0.17000000178813934,-1334.7006301879883
0.6050000190734863,-0.20999999344348907,-1355.7074661254883
0.625,-0.25,-1375.0803146362305
0.6449999809265137,-0.28999999165534973,-1392.9446640014648
0.6650000214576721,-0.33000001311302185,-1409.416561126709
0.6850000023841858,-0.3700000047683716,-1424.6032180786133
0.7049999833106995,-0.4099999964237213,-1438.603427886963
0.7250000238418579,-0.44999998807907104,-1451.5087280273438
0.7450000047683716,-0.49000000953674316,-1463.4035758972168
0.7649999856948853,-0.4699999988079071,226.05250453948975
0.7850000262260437,-0.4300000071525574,613.5693111419678
0.8050000071525574,-0.38999998569488525,691.2205848693848
0.824999988079071,-0.3499999940395355,762.460807800293
0.8450000286102295,-0.3100000023841858,827.9606170654297
0.8650000095367432,-0.27000001072883606,888.2592811584473
0.8849999904632568,-0.23000000417232513,943.7158050537109
0.9049999713897705,-0.1899999976158142,994.9835510253906
0.925000011920929,-0.15000000596046448,1042.2779350280762
0.9449999928474426,-0.10999999940395355,1085.911735534668
0.9649999737739563,-0.07000000029802322,1126.1716804504395
0.9850000143051147,-0.029999999329447746,1163.3202781677246
1.0049999952316284,0.009999999776482582,1197.5977821350098
1.024999976158142,0.05000000074505806,1229.2252159118652
1.0449999570846558,0.09000000357627869,1258.4059677124023
1.065000057220459,0.12999999523162842,1285.3274993896484
1.0850000381469727,0.17000000178813934,1310.1629447937012
1.1050000190734863,0.20999999344348907,1333.0720558166504
1.125,0.25,1354.202350616455
1.1449999809265137,0.28999999165534973,1373.6902046203613
1.1649999618530273,0.33000001311302185,1391.6616516113281
1.184999942779541,0.3700000047683716,1408.233097076416
1.2050000429153442,0.4099999964237213,1423.512119293213
1.225000023841858,0.44999998807907104,1437.598087310791
1.2450000047683716,0.49000000953674316,1450.5829467773438
1.2649999856948853,0.4699999988079071,-238.87318992614746
1.284999966621399,0.4300000071525574,-625.4888858795166
1.3049999475479126,0.38999998569488525,-702.258975982666
1.3250000476837158,0.3499999940395355,-772.6807250976562
1.3450000286102295,0.3100000023841858,-837.4406890869141
1.3650000095367432,0.27000001072883606,-897.0282707214355
1.3849999904632568,0.23000000417232513,-951.8335304260254
1.4049999713897705,0.1899999976158142,-1002.4965591430664
1.4249999523162842,0.15000000596046448,-1049.229579925537
1.4450000524520874,0.10999999940395355,-1092.3424339294434
1.465000033378601,0.07000000029802322,-1132.1191864013672
1.4850000143051147,0.029999999329447746,-1168.8196868896484
1.5049999952316284,-0.009999999776482582,-1202.6819801330566
1.524999976158142,-0.05000000074505806,-1233.924674987793
1.5449999570846558,-0.09000000357627869,-1262.7490844726562
1.565000057220459,-0.12999999523162842,-1289.3406562805176
1.5850000381469727,-0.17000000178813934,-1313.8706665039062
1.6050000190734863,-0.20999999344348907,-1336.497055053711
1.625,-0.25,-1357.3657722473145
1.6449999809265137,-0.28999999165534973,-1376.6116790771484
1.6649999618530273,-0.33000001311302185,-1394.359245300293
1.684999942779541,-0.3700000047683716,-1410.723648071289
1.7050000429153442,-0.4099999964237213,-1425.8111839294434
1.725000023841858,-0.44999998807907104,-1439.7201309204102
1.7450000047683716,-0.49000000953674316,-1452.541275024414
1.7649999856948853,-0.4699999988079071,236.91480213403702
1.784999966621399,-0.4300000071525574,623.6647243499756
1.8049999475479126,-0.38999998569488525,700.5655002593994
1.8250000476837158,-0.3499999940395355,771.1085815429688
1.8450000286102295,-0.3100000023841858,835.9786949157715
1.8650000095367432,-0.27000001072883606,895.6717758178711
1.8849999904632568,-0.23000000417232513,950.5739402770996
1.9049999713897705,-0.1899999976158142,1001.3271675109863
1.9249999523162842,-0.15000000596046448,1048.1440391540527
1.9450000524520874,-0.10999999940395355,1091.3348693847656
1.965000033378601,-0.07000000029802322,1131.1841049194336
1.9850000143051147,-0.029999999329447746,1167.9520072937012
2.0,0.0,1193.662540435791
