time,U1,RF_total_positive
0.0,0.0,0.0
0.009999999776482582,0.019999999552965164,1008.4743232727051
0.019999999552965164,0.03999999910593033,1029.972858428955
0.029999999329447746,0.05999999865889549,1050.800365447998
0.04500000178813934,0.09000000357627869,1081.888271331787
0.06499999761581421,0.12999999523162842,1122.926628112793
0.08500000089406967,0.17000000178813934,1163.8240776062012
0.10499999672174454,0.20999999344348907,1200.0741500854492
0.125,0.25,1211.3807067871094
0.14499999582767487,0.28999999165534973,1222.48042678833
0.16500000655651093,0.33000001311302185,1233.2708930969238
0.1850000023841858,0.3700000047683716,1243.9454727172852
0.20499999821186066,0.4099999964237213,1254.5260734558105
0.22499999403953552,0.44999998807907104,1265.104965209961
0.24500000476837158,0.49000000953674316,1275.6375579833984
0.26499998569488525,0.4699999988079071,-413.8350658416748
0.2849999964237213,0.4300000071525574,-762.9307041168213
0.3050000071525574,0.38999998569488525,-805.0738220214844
0.32499998807907104,0.3499999940395355,-846.6834869384766
0.3449999988079071,0.3100000023841858,-888.0729217529297
0.36500000953674316,0.27000001072883606,-929.3240203857422
0.38499999046325684,0.23000000417232513,-970.3318290710449
0.4050000011920929,0.1899999976158142,-1011.1952056884766
0.42500001192092896,0.15000000596046448,-1052.0657234191895
0.4449999928474426,0.10999999940395355,-1091.7004852294922
0.4650000035762787,0.07000000029802322,-1124.6363563537598
0.48500001430511475,0.029999999329447746,-1135.9517631530762
0.5049999952316284,-0.009999999776482582,-1147.151065826416
0.5249999761581421,-0.05000000074505806,-1158.3240928649902
0.5450000166893005,-0.09000000357627869,-1169.379623413086
0.5649999976158142,-0.12999999523162842,-1180.279987335205
0.5849999785423279,-0.17000000178813934,-1191.0212364196777
0.6050000190734863,-0.20999999344348907,-1201.701515197754
0.625,-0.25,-1212.3347129821777
0.6449999809265137,-0.28999999165534973,-1222.9246444702148
0.6650000214576721,-0.33000001311302185,-1233.5236778259277
0.6850000023841858,-0.3700000047683716,-1244.118953704834
0.7049999833106995,-0.4099999964237213,-1254.6857147216797
0.7250000238418579,-0.44999998807907104,-1265.2034225463867
0.7450000047683716,-0.49000000953674316,-1275.701889038086
0.7649999856948853,-0.4699999988079071,413.75474739074707
0.7850000262260437,-0.4300000071525574,762.8154048919678
0.8050000071525574,-0.38999998569488525,804.9386596679688
0.824999988079071,-0.3499999940395355,846.5473213195801
0.8450000286102295,-0.3100000023841858,887.9363441467285
0.8650000095367432,-0.27000001072883606,929.2122459411621
0.8849999904632568,-0.23000000417232513,970.2381172180176
0.9049999713897705,-0.1899999976158142,1011.1124992370605
0.925000011920929,-0.15000000596046448,1052.0016860961914
0.9449999928474426,-0.10999999940395355,1091.6201553344727
0.9649999737739563,-0.07000000029802322,1124.4975852966309
0.9850000143051147,-0.029999999329447746,1135.838176727295
1.0049999952316284,0.009999999776482582,1147.0375137329102
1.024999976158142,0.05000000074505806,1158.2101860046387
1.0449999570846558,0.09000000357627869,1169.2855110168457
1.065000057220459,0.12999999523162842,1180.210620880127
1.0850000381469727,0.17000000178813934,1190.9206199645996
1.1050000190734863,0.20999999344348907,1201.6349334716797
1.125,0.25,1212.2761268615723
1.1449999809265137,0.28999999165534973,1222.871898651123
1.1649999618530273,0.33000001311302185,1233.4739990234375
1.184999942779541,0.3700000047683716,1244.0725860595703
1.2050000429153442,0.4099999964237213,1254.6407928466797
1.225000023841858,0.44999998807907104,1265.1602172851562
1.2450000047683716,0.49000000953674316,1275.6618919372559
1.2649999856948853,0.4699999988079071,-413.79443740844727
1.284999966621399,0.4300000071525574,-762.8639736175537
1.3049999475479126,0.38999998569488525,-805.0013465881348
1.3250000476837158,0.3499999940395355,-846.6135368347168
1.3450000286102295,0.3100000023841858,-888.0045776367188
1.3650000095367432,0.27000001072883606,-929.2723922729492
1.3849999904632568,0.23000000417232513,-970.2885360717773
1.4049999713897705,0.1899999976158142,-1011.1577491760254
1.4249999523162842,0.15000000596046448,-1052.0382118225098
1.4450000524520874,0.10999999940395355,-1091.667465209961
1.465000033378601,0.07000000029802322,-1124.553321838379
1.4850000143051147,0.029999999329447746,-1135.888515472412
1.5049999952316284,-0.009999999776482582,-1147.0876846313477
1.524999976158142,-0.05000000074505806,-1158.26029586792
1.5449999570846558,-0.09000000357627869,-1169.328281402588
1.565000057220459,-0.12999999523162842,-1180.239601135254
1.5850000381469727,-0.17000000178813934,-1190.9854621887207
1.6050000190734863,-0.20999999344348907,-1201.67085647583
1.625,-0.25,-1212.3081016540527
1.6449999809265137,-0.28999999165534973,-1222.9003944396973
1.6649999618530273,-0.33000001311302185,-1233.5011024475098
1.684999942779541,-0.3700000047683716,-1244.0980796813965
1.7050000429153442,-0.4099999964237213,-1254.6662788391113
1.725000023841858,-0.44999998807907104,-1265.185359954834
1.7450000047683716,-0.49000000953674316,-1275.685043334961
1.7649999856948853,-0.4699999988079071,413.77146911621094
1.784999966621399,-0.4300000071525574,762.83740234375
1.8049999475479126,-0.38999998569488525,804.9675216674805
1.8250000476837158,-0.3499999940395355,846.577693939209
1.8450000286102295,-0.3100000023841858,887.9674835205078
1.8650000095367432,-0.27000001072883606,929.2393760681152
1.8849999904632568,-0.23000000417232513,970.2599182128906
1.9049999713897705,-0.1899999976158142,1011.1316337585449
1.9249999523162842,-0.15000000596046448,1052.0164642333984
1.9450000524520874,-0.10999999940395355,1091.6404762268066
1.965000033378601,-0.07000000029802322,1124.5228309631348
1.9850000143051147,-0.029999999329447746,1135.860683441162
2.0,0.0,1144.2626266479492
