cycle_id,target_time,frame_time_used,max_PEEQ,abs_time_error
0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,1.0
2,2.0,0.0,0.0,2.0
3,3.0,0.0,0.0,3.0
4,4.0,0.0,0.0,4.0
5,5.0,0.0,0.0,5.0
6,6.0,10.0,0.0209114346653223,4.0
7,7.0,10.0,0.0209114346653223,3.0
8,8.0,10.0,0.0209114346653223,2.0
9,9.0,10.0,0.0209114346653223,1.0
10,10.0,10.0,0.0209114346653223,0.0
