variable,group,meaning,base_cycle,base_value,mean_value_cycles_2_to_10,mean_per_cycle_increment,tau,scale_S_i,admissible_change_A_i,eta,eps,deltaN_raw,deltaN_unclipped,deltaN_clipped,included_in_restart_minimum
STATEV1,accuracy_monitor,accumulated viscoplastic strain p,10,0.0702667832375,0.0415273027288,0.00718546519056,0.02,0.0702667832375,0.00140533566475,0.75,1e-12,0.146685248688,0,1,False
STATEV2,restart_state,backstress X11,10,-85.9424591064,-85.9687152438,0.189079284668,0.05,85.9687152438,4.29843576219,0.75,1e-12,17.050132315,17,17,True
STATEV3,restart_state,backstress X22,10,42.9712295532,42.9843576219,-0.094539642334,0.05,42.9843576219,2.1492178811,0.75,1e-12,17.050132315,17,17,True
STATEV4,restart_state,backstress X33,10,42.9712295532,42.9843576219,-0.094539642334,0.05,42.9843576219,2.1492178811,0.75,1e-12,17.050132315,17,17,True
STATEV8,restart_state,viscoplastic strain eps_vp_11,10,-0.00179540505633,-0.00179651088547,-1.53241368632e-06,0.05,0.00179651088547,8.98255442734e-05,0.75,1e-12,43.9627463811,43,43,True
STATEV9,restart_state,viscoplastic strain eps_vp_22,10,0.000897702528164,0.000898255442735,7.66206843158e-07,0.05,0.000898255442735,4.49127721367e-05,0.75,1e-12,43.9627176925,43,43,True
STATEV10,restart_state,viscoplastic strain eps_vp_33,10,0.000897702528164,0.000898255442735,7.66206843158e-07,0.05,0.000898255442735,4.49127721367e-05,0.75,1e-12,43.9627176925,43,43,True
S11,stress_consistency,axial residual stress,10,336.117858887,336.350094265,0.321804470487,0.03,336.350094265,10.090502828,0.75,1e-12,23.5170043148,23,23,True
