frame_label,step_name,frame_value,description,STATEV1,STATEV2,STATEV3,STATEV4,STATEV5,STATEV6,STATEV7,STATEV8,STATEV9,STATEV10,STATEV11,STATEV12,STATEV13,STATEV14,STATEV15,S11,S22,S33,S12,S13,S23,RIGHT_FACE_U1_AVG,RIGHT_FACE_RF1_SUM,right_face_node_set,STATEV1_count,stress_count,right_face_u_count,right_face_rf_count
first,CYCLIC_CONT_PREDICTED_C39_TO_C40,0,Increment      0: Step Time =    0.000,0.278645277023,-80.4591598511,40.2295799255,40.2295799255,7.27382343675e-15,2.31935196892e-15,-1.18666308943e-15,-0.00183984509204,0.000919922546018,0.000919922546018,-1.17958354174e-18,-6.99770809982e-19,-8.05529612384e-20,2.76713180542,0,345.450195312,-3.78956137032e-14,-4.07575211916e-14,1.16872277914e-13,-4.04785830777e-14,1.861607148e-14,0,1381.80078125,RIGHT_FACE,8,8,4,4
final,CYCLIC_CONT_PREDICTED_C39_TO_C40,1,Increment     57: Step Time =    1.000,0.285667210817,-85.9163360596,42.9581680298,42.9581680298,6.89131304571e-15,3.90419571112e-16,-7.18974057711e-16,-0.00198034080677,0.000990170403384,0.000990170403384,-1.38821844392e-19,-9.87597273153e-19,4.18685145974e-20,2.8363673687,0,374.954284668,2.99760216649e-15,-8.881784197e-16,7.37084788448e-16,-8.18082167784e-15,6.89660182017e-15,0,1499.81713867,RIGHT_FACE,8,8,4,4
