case_name,cycle,strain_mean,ratcheting_strain,strain_range,hysteresis_area,accumulated_inelastic_strain_end,backstress_norm_end,walltime_seconds,cycles_per_hour,summary_file
B1_m100_to_250,176000,4.436544282187173,4.42103873739926,0.0023354688929568823,0.19679762003606216,201.93351721023177,62.85336696823921,4635.638133049011,136680.21140020704,case_outputs/B1_m100_to_250_cycle_summary.csv
B1_m120_to_240,190000,4.662011157597921,4.6495746109790925,0.002508830879989432,0.2348835320216497,264.95189435136393,53.11527065408031,5406.822363615036,126506.8378430456,case_outputs/B1_m120_to_240_cycle_summary.csv
B1_m140_to_250,218000,7.805465733741057,7.79097912078129,0.0030770871094318863,0.3736264926083814,483.8301547234512,55.336707309076814,7703.1067616939545,101880.97144163406,case_outputs/B1_m140_to_250_cycle_summary.csv
B1_m150_to_240,247000,7.228734843554497,7.217184188808357,0.0030736901618837464,0.37195484992448324,548.1155193323231,48.84626589233993,9423.452732801437,94360.31836874885,case_outputs/B1_m150_to_240_cycle_summary.csv
B1_m150_to_260,340000,15.721726925294373,15.705497778298334,0.0035079541314306795,0.4904223046962802,975.9110599886898,59.910048449011825,14026.675595283508,87262.30186799014,case_outputs/B1_m150_to_260_cycle_summary.csv
B1_m150_to_300,816000,86.28978477152094,86.26614479481528,0.0046443507501976455,0.8523067025426508,3819.6442482686184,84.3469814927314,36297.39989614487,80931.41680685512,case_outputs/B1_m150_to_300_cycle_summary.csv
B1_m160_to_250,401000,15.140821798973686,15.127620936095235,0.003503523362805794,0.4884866454820348,1150.8548002665993,53.85548339645741,16570.37770795822,87119.31770310132,case_outputs/B1_m160_to_250_cycle_summary.csv
B1_m180_to_280,1302000,101.50060717899612,101.48458194753087,0.005007608071693426,0.9825234603892208,6952.524719675427,69.82539137264416,57877.79329895973,80984.42827266958,case_outputs/B1_m180_to_280_cycle_summary.csv
B1_m200_to_300,1255000,191.99991228664527,191.98332862431428,0.007885465123422364,2.1848342694894294,13330.108158148912,81.4308001633688,85738.63713860512,52695.02934477719,case_outputs/B1_m200_to_300_cycle_summary.csv
B1_mean30_amp200,229000,5.119356448655166,5.111285291361163,0.0032786880156034925,0.4258966408665124,580.7304206631983,43.29264262122373,8516.320928096771,96802.36418523944,case_outputs/B1_mean30_amp200_cycle_summary.csv
B1_mean40_amp190,204000,4.603976772946198,4.594909389667721,0.0028756641948906037,0.3215358697969796,393.6855599468058,43.38711864393038,7041.574888944626,104294.85045355672,case_outputs/B1_mean40_amp190_cycle_summary.csv
B1_mean50_amp180,211000,4.3081456881009,4.298550289360241,0.0025067347394758244,0.2335207339098363,294.1820591936412,45.910720260800744,6415.160140991211,118407.02076108013,case_outputs/B1_mean50_amp180_cycle_summary.csv
B1_mean50_amp220,605000,36.228128528403495,36.2125020901959,0.004293866951869063,0.7316682197384491,2498.5276119418118,63.99898594834678,26257.47862124443,82947.79675600008,case_outputs/B1_mean50_amp220_cycle_summary.csv
B1_mean60_amp210,494000,28.239502863035977,28.22124481819746,0.0037497376593691456,0.5610922218373949,1601.936178182856,65.54071756081603,20274.19608283043,87717.41146895933,case_outputs/B1_mean60_amp210_cycle_summary.csv
B1_mean70_amp200,318000,16.52869074416079,16.508744153073042,0.0032938632773245047,0.43295239621141896,806.662067903696,67.29901127886158,12037.8474111557,95100.05908025484,case_outputs/B1_mean70_amp200_cycle_summary.csv
B1_stress_m150_to_250,279725,10.41562762490873,10.401657666498515,0.003286336494591424,0.4291541670781202,709.4332711248883,54.51495505607598,10593.4775121212,95059.43622835517,case_outputs/B1_stress_m150_to_250_cycle_summary.csv
B2_0_to_220,170000,0.0265068863919123,0.01878457654904553,0.0010999999999999899,0.011797479772815351,0.04462871023223246,71.34391402843599,1672.1030008792877,366006.16091124486,case_outputs/B2_0_to_220_cycle_summary.csv
B2_0_to_240,170000,0.03725934799830914,0.023960865175476187,0.001199999999999951,0.014039986963139704,0.10216512471238116,92.7557834389728,1990.1514217853546,307514.2892649736,case_outputs/B2_0_to_240_cycle_summary.csv
B2_0_to_260,187000,0.04441857933136656,0.025341091435105594,0.0013000000000000511,0.016477477329058333,0.18325814631361662,103.07233560151249,2539.505598306656,265090.96906456526,case_outputs/B2_0_to_260_cycle_summary.csv
B2_0_to_280,176000,0.05356520235593662,0.028691020806304236,0.0014000000000000123,0.019109951412904284,0.32188758236437226,111.1253856458743,2150.1369755268097,294678.9005592354,case_outputs/B2_0_to_280_cycle_summary.csv
B2_0_to_320,201000,4.206779364505683,4.170288719234315,0.0018317354151040632,0.09423645419620658,89.40501420190348,126.78941687198859,4249.806525468826,170266.57464604804,case_outputs/B2_0_to_320_cycle_summary.csv
B2_0_to_340,177000,8.004913747501067,7.962608012518282,0.002174920015351134,0.17204383492600808,160.47868061852614,136.2162093404321,5009.926208019257,127187.50207938207,case_outputs/B2_0_to_340_cycle_summary.csv
B2_0_to_360,192000,14.209694128641402,14.161582781667517,0.0025353020948966076,0.2581115792250266,268.43583158319683,146.49586527000125,5881.436881542206,117522.30176425126,case_outputs/B2_0_to_360_cycle_summary.csv
B2_10_to_290,184000,0.05734990673852606,0.02953556371361326,0.0014000000000000123,0.019809949843343676,0.3218875823643955,119.06289208922546,1821.1982464790344,363716.58125667187,case_outputs/B2_10_to_290_cycle_summary.csv
B2_10_to_310,230000,0.11869342559646412,0.08504942474196812,0.0015004540666242877,0.022819219789791886,1.5543406247993816,126.99924332876661,3544.1097712516785,233627.0751872265,case_outputs/B2_10_to_310_cycle_summary.csv
B2_20_to_300,192000,0.061126103992800794,0.03036066974253998,0.0014000000000000123,0.020509947197789345,0.3218875823643866,127.0003598963898,2340.3793334960938,295336.7388386032,case_outputs/B2_20_to_300_cycle_summary.csv
B2_30_to_300,212000,0.05907747907590478,0.02828764978254432,0.0013499999999999623,0.01979433776033742,0.24079456078349237,130.96669826881765,3234.261838912964,235973.4733958682,case_outputs/B2_30_to_300_cycle_summary.csv
B2_40_to_320,201000,0.06865291015931967,0.03195271543363305,0.0014000000000000123,0.02190994243986641,0.3218875823643925,142.87527548396744,2970.768968820572,243573.29957141605,case_outputs/B2_40_to_320_cycle_summary.csv
B2_m20_to_300,194000,3.5534619872893947,3.522920284877315,0.0018303388702314294,0.09184866987737861,86.25948383947062,111.08007897005402,3907.1812505722046,178747.7865015143,case_outputs/B2_m20_to_300_cycle_summary.csv
B2_stress_0_to_300,183632,0.10936805050368814,0.07868953340165502,0.0015005669807959532,0.02210385507937999,1.509346992845225,119.09833380110886,2756.394174337387,239833.33231319016,case_outputs/B2_stress_0_to_300_cycle_summary.csv
