variable,value
STATEV1_end,0.14202569425106049
STATEV2_end,-85.88802337646484
STATEV3_end,42.94401168823242
STATEV4_end,42.94401168823242
STATEV5_end,1.1030211997830208e-15
STATEV6_end,2.8931807586961353e-15
STATEV7_end,-2.306375073442314e-15
STATEV8_end,-0.0017925434513017535
STATEV9_end,0.0008962717256508768
STATEV10_end,0.0008962717256508768
STATEV11_end,-2.5770435713846094e-19
STATEV12_end,-2.6635644339474113e-19
STATEV13_end,-1.2047765260593373e-19
STATEV14_end,1.4152259826660156
STATEV15_end,0.0
