frame_label,step_name,frame_value,description,STATEV1,STATEV2,STATEV3,STATEV4,STATEV5,STATEV6,STATEV7,STATEV8,STATEV9,STATEV10,STATEV11,STATEV12,STATEV13,STATEV14,STATEV15,S11,S22,S33,S12,S13,S23,STATEV1_count,stress_count
first,CYCLIC_CONT_STATEV_ONLY,0,Increment      0: Step Time =    0.000,0.13485494256,-85.8934707642,42.9467353821,42.9467353821,-2.0947599124e-15,2.21610010849e-16,-2.42224444915e-15,-0.00179282890167,0.000896414450835,0.000896414450835,-3.31795921422e-19,-2.99851446936e-19,-1.05303297303e-19,1.34401321411,0,0,0,0,0,0,0,8,8
final,CYCLIC_CONT_STATEV_ONLY,1,Increment     57: Step Time =    1.000,0.14071752131,-89.6506958008,44.8253479004,44.8253479004,-1.93042349012e-15,1.02474890345e-15,-1.73636472473e-15,-0.00354798021726,0.00177399010863,0.00177399010863,-4.45795746552e-19,-3.22751301413e-19,-1.39364217591e-19,1.40223646164,0,368.581756592,1.88737914186e-15,-2.6645352591e-15,-1.63348029462e-15,-3.65304684899e-15,2.77733924243e-15,8,8
