quantity,cycle100_reference_value,source,lower_time,upper_time,alpha
STATEV1,0.712048649788,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV2,-85.4506530762,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV3,42.7253265381,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV4,42.7253265381,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV5,1.09488636815e-16,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV6,1.25566658216e-15,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV7,-2.03852653655e-15,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV8,-0.00177028600592,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV9,0.000885143002961,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV10,0.000885143002961,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV11,-3.58274938951e-19,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV12,-1.30763006174e-19,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV13,-1.30166036933e-19,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV14,6.99522447586,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
STATEV15,0,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
S11,371.760040283,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
S22,2.33146835171e-15,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
S33,4.4408920985e-16,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
S12,-1.28600218705e-14,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
S13,-2.99261361888e-15,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
S23,4.61489573428e-15,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
RIGHT_FACE_U1_AVG,0,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
RIGHT_FACE_RF1_SUM,1487.04016113,linear_interpolation_between_bracketing_100cycle_ODB_frames,100,100,0
