component,value,base_cycle_value,mean_increment_cycles_2_to_10,delta_n,policy
S11,364.75845676,336.117858887,0.321804470487,89,first_order_cycle_space
S22,-1.0894988615e-13,-3.5527136788e-15,-1.18423789294e-15,89,first_order_cycle_space
S33,-1.17732983856e-13,-3.5527136788e-15,-1.28292438401e-15,89,first_order_cycle_space
S12,3.51288020543e-13,3.57134500227e-15,3.90692893866e-15,89,first_order_cycle_space
S13,-1.25658494235e-13,6.9170483948e-16,-1.41966515814e-15,89,first_order_cycle_space
S23,4.30920065762e-14,6.78603680962e-15,4.07932244568e-16,89,first_order_cycle_space
